Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
C1=CC=C(C=C1)C(NC)C(C)(C)C	0,00001	1,17E-9	43.0	9.0	48.0	4.0	0	0.8475000000000001
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.9533333333333333
OC(=NCCN)C	0,00003	3,04E-8	29.0	4.0	32.0	1.0	0	0.8815151515151516
O(C)C(CC)C(C)(C)C	5,05E-7	3,04E-8	31.0	2.0	32.0	1.0	7	0.8872727272727271
C=CC=2C1=CC=CC=C1CC=2C	0,00687	0E0	8.0	0.0	0.0	0.0	2	0.0
O=C(C(=CC)N(C)C)N1CCC2(CC1)(CCN(C(=C)C)CC2)	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
null	0E0	0,00019	0.0	0.0	34.0	8.0	0	0.7228571428571429
C1=CC=C(C=C1)C(NC)C(C)C	0,00014	0E0	35.0	8.0	0.0	0.0	2	0.0
null	0E0	0,00189	0.0	0.0	10.0	0.0	0	0.796
O=C(OC)C1CC1(C(NS)C(=C)C)	0,02386	0,02319	6.0	0.0	6.0	0.0	0	0.7600000000000001
null	0E0	7,6E-21	0.0	0.0	114.0	10.0	0	0.8625806451612898
OC(C=C)=CC	0,00198	0,00189	10.0	0.0	10.0	0.0	0	0.9169999999999998
N=1C=CN(C=1)C	4,7E-13	6,1E-12	55.0	2.0	54.0	3.0	0	0.9250877192982463
null	0E0	0,03319	0.0	0.0	10.0	2.0	0	0.8300000000000001
null	0E0	5,9E-10	0.0	0.0	78.0	15.0	0	0.8745161290322588
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.8100000000000002
null	0E0	0,00002	0.0	0.0	30.0	4.0	0	0.8355882352941174
C1=CC=C2C(=C1)C(=C(C)C2)C	0,00647	0,00617	11.0	1.0	11.0	1.0	0	0.8099999999999999
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.7875000000000001
OC(=CC(=C)Cl)C	2,9E-10	2,9E-13	44.0	2.0	46.0	0.0	0	0.954347826086957
C=CC1=C(C=CC=C1Cl)C	0,0128	0E0	7.0	0.0	0.0	0.0	2	0.0
OC=1C=CC(=CC=1(O))CC(N)C	0,00368	0,00353	9.0	0.0	9.0	0.0	7	0.87
OC=1C=C(C=C(OC)C=1(OC))C	0,0345	0E0	10.0	2.0	0.0	0.0	5	0.0
null	0E0	0,03126	0.0	0.0	8.0	1.0	0	0.8322222222222222
N(C(=C)C)=C(S)S	0,00215	0,01265	13.0	1.0	12.0	2.0	0	0.7742857142857144
O=C(CC)C(O)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8650000000000001
O=C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)N2CCCC3(C2)(CN(CC)CC3)	0,00001	0E0	18.0	0.0	0.0	0.0	2	0.0
null	0E0	0,01834	0.0	0.0	9.0	1.0	0	0.772
O=C(O)C(=C(N)C)C(N)C	0,0128	0,01238	7.0	0.0	7.0	0.0	0	0.8614285714285713
