Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
O=C(NC1=CC=C(O)C=C1)N2CC3(C2)(CCNCC3)	0,00005	0E0	16.0	0.0	0.0	0.0	5
FC(F)(F)C1=CC=C(C=C1)C(O)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
C=C1C(=CC)CCNC1	0,00687	0E0	8.0	0.0	0.0	0.0	5
O=S(=O)(N)C=1C=C(C(=CC=1(N))Cl)S(=O)(=O)N	0,03233	0E0	8.0	1.0	0.0	0.0	5
O=S(=O)(C1=CC=C(N=C(O)C)C=C1)C	0,01905	0E0	9.0	1.0	0.0	0.0	5
OC1=CC=C(NC)C(=C1)C	1,5E-13	0E0	83.0	10.0	0.0	0.0	2
C=CCCCCCCC	0,00123	0E0	14.0	1.0	0.0	0.0	2
O=C(O)CC(O)C	0,00096	0E0	22.0	4.0	0.0	0.0	5
OC1=CC=C(C=C1CN(C(=C)C)CC)C(C)(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
N(C)(C)C1CCCC1	0,02386	0E0	6.0	0.0	0.0	0.0	2
C=C(C1=CC=CC=C1C)Cl	0,02386	0E0	6.0	0.0	0.0	0.0	2
O=C(N2CCC1(CN(CC)CCC1)(CC2))CO	0,00057	0E0	12.0	0.0	0.0	0.0	5
C=C(C=1C=CC=C(C=1C)Cl)S	0,02386	0E0	6.0	0.0	0.0	0.0	2
FC(C(=CC)C(C)(C)C)C	0,0128	0E0	7.0	0.0	0.0	0.0	5
C=C(C)C(C=CCC)NC	0,00106	0E0	11.0	0.0	0.0	0.0	2
N=C(O)C(=CC)SC	0,01905	0E0	9.0	1.0	0.0	0.0	2
O=C1OCC(=C1)C	0,00373	0E0	12.0	1.0	0.0	0.0	5
C=C(C(N)=C(C)C)C	0,02386	0E0	6.0	0.0	0.0	0.0	2
NC1=CC=CC=C1C	0,00373	0E0	12.0	1.0	0.0	0.0	5
O=S(=O)(N)C(=CC)C(=C)N	0,02386	0E0	6.0	0.0	0.0	0.0	5
C=C(N)C=C(C)Cl	0,00391	0E0	21.0	5.0	0.0	0.0	2
O=C(O)CC	0,00373	0E0	12.0	1.0	0.0	0.0	5
FC(F)(C)C	0,00687	0E0	8.0	0.0	0.0	0.0	5
C=CSC(=C)C	2,9E-39	0E0	244.0	26.0	0.0	0.0	2
OC(=NC(CO)CC)C(C)C	0,00004	0E0	26.0	3.0	0.0	0.0	5
C=2C=C1NC=C3C1=C(C=2)C4CC(C)CN(C)C4(C3)	0,0128	0E0	7.0	0.0	0.0	0.0	5
OC(C)(C)C(CC)C(N)C	0,00057	0E0	12.0	0.0	0.0	0.0	5
C=1C=C(C=CC=1C)CN2CCC2	0,00647	0E0	11.0	1.0	0.0	0.0	5
OC(=NC1=CC=CC(=C1)C)N3CCC2(CCNCC2)CC3	0,00687	0E0	8.0	0.0	0.0	0.0	5
O=S(=O)(NCCC)C1=CC=CC(=C1(C=C))C	0,0345	0E0	10.0	2.0	0.0	0.0	2
OC(C)C(N=C)C(O)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=S(=O)(CC)CC	0,00198	0E0	10.0	0.0	0.0	0.0	5
C=C(C(=CC)C1=CC=CC(=C1)C)Cl	0,00687	0E0	8.0	0.0	0.0	0.0	2
O1C=2C=CC(=CC=2(OC1))C(=C)C	5,00E-8	0E0	27.0	0.0	0.0	0.0	2
N1=CC=CC(=C1)C(=C)C	5,00E-8	0E0	27.0	0.0	0.0	0.0	2
OC(=C)C(=CC)C1=CC=CC(=C1)C	0,00003	0E0	17.0	0.0	0.0	0.0	2
